book_name,book_cost,book_cost_url,book_rating,book_ReviewsNumber,book_ReviewsNumber_url
Mastering Swift 4 - Fourth Edition: An in-depth and comprehensive guide to modern programming techniques with Swift,"2,150",https://www.amazon.in/Mastering-Swift-Fourth-Jon-Hoffman/dp/1788477804/ref=sr_1_92?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-92,4.0 out of 5 stars,27,https://www.amazon.in/Mastering-Swift-Fourth-Jon-Hoffman/dp/1788477804/ref=sr_1_92?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-92#customerReviews
Elasticsearch Indexing,492,https://www.amazon.in/Elasticsearch-Indexing-Huseyin-Akdogan-ebook/dp/B017KQ1DO8/ref=sr_1_93?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-93,,,
Django 4 for the Impatient: Learn the core concepts of Python web development with Django in one weekend,563,https://www.amazon.in/Django-Impatient-concepts-development-weekend-ebook/dp/B0B25BLDV4/ref=sr_1_94?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-94,5.0 out of 5 stars,1,https://www.amazon.in/Django-Impatient-concepts-development-weekend/dp/1803245832/ref=sr_1_94?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-94#customerReviews
Mastering JavaScript Object-Oriented Programming,887,https://www.amazon.in/Mastering-JavaScript-Object-Oriented-Programming-Chiarelli-ebook/dp/B01AJST12K/ref=sr_1_95?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-95,4.4 out of 5 stars,6,https://www.amazon.in/Mastering-JavaScript-Object-Oriented-Programming-Chiarelli/dp/1785889109/ref=sr_1_95?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-95#customerReviews
Burp Suite Cookbook: Practical recipes to help you master web penetration testing with Burp Suite,498,https://www.amazon.in/Burp-Suite-Cookbook-Practical-penetration-ebook/dp/B07HRHPK6L/ref=sr_1_96?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-96,4.7 out of 5 stars,33,https://www.amazon.in/Burp-Suite-Cookbook-Practical-penetration/dp/178953173X/ref=sr_1_96?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-96#customerReviews
Data Analytics Made Easy: Analyze and present data to make informed decisions without writing any code,592,https://www.amazon.in/Data-Analytics-Made-Easy-decisions-ebook/dp/B09C8V3321/ref=sr_1_97?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805715&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-97,4.8 out of 5 stars,20,https://www.amazon.in/Data-Analytics-Made-Easy-decisions/dp/1801074151/ref=sr_1_97?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805715&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-97#customerReviews
Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,"3,100",https://www.amazon.in/Machine-Learning-PyTorch-Scikit-Learn-learning/dp/1801819319/ref=sr_1_98?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805715&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-98,4.6 out of 5 stars,110,https://www.amazon.in/Machine-Learning-PyTorch-Scikit-Learn-learning-ebook/dp/B09NW48MR1/ref=sr_1_98?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805715&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-98#customerReviews
"Accelerate DevOps with GitHub: Enhance software delivery performance with GitHub issues, projects, actions, and advanced security",938,https://www.amazon.in/Accelerate-DevOps-GitHub-software-performance-ebook/dp/B0B4DW7NSL/ref=sr_1_99?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805715&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-99,,,
Modern Programming: Object Oriented Programming and Best Practices: Deconstruct object-oriented programming and use it with other programming paradigms to build applications,736,https://www.amazon.in/Modern-Programming-Deconstruct-object-oriented-applications-ebook/dp/B07TVBF8V2/ref=sr_1_100?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805715&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-100,4.4 out of 5 stars,4,https://www.amazon.in/Modern-Programming-Deconstruct-object-oriented-applications/dp/1838986189/ref=sr_1_100?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805715&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-100#customerReviews
The Kaggle Book: Data analysis and machine learning for competitive data science,"2,784",https://www.amazon.in/Data-Analysis-Machine-Learning-Kaggle/dp/1801817472/ref=sr_1_101?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805715&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-101,4.5 out of 5 stars,59,https://www.amazon.in/Data-Analysis-Machine-Learning-Kaggle-ebook/dp/B09F3STL34/ref=sr_1_101?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805715&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-101#customerReviews
