book_name,book_Price,book_reviews,book_rating,book_date,book_discount,book_author
Learn Java 17 Programming -: Learn to code by understanding the fundamentals of Java 17,"2,385",2,5.0 out of 5 stars,29-Jul-22,(20% off),by Nick Samoylov | 29 July 2022
"Expert Python Programming: Master Python by learning the best coding practices and advanced programming concepts, 4th Edition","2,782",41,4.5 out of 5 stars,28-May-21,(20% off),by Michał Jaworski and Tarek Ziadé | 28 May 2021
Linux Device Driver Development: Everything you need to start with device driver development for Linux kernel and embedded Linux,"3,100",4,4.4 out of 5 stars,21-Apr-22,(20% off),by John Madieu | 21 April 2022
The The Successful Software Manager: The definitive guide to growing from developer to manager,"2,226",11,3.6 out of 5 stars,28-Jun-19,(20% off),by Herman Fung | 28 June 2019
LEARN PYTHON WITH 200 PROGRAMS: Practical Guide for beginners and XI & XII std CBSE students,525,9,4.3 out of 5 stars,02-Jul-20,(32% off),by Vaishali B. Bhagat | 2 July 2020
Jenkins Continuous Integration Cookbook,,3,3.0 out of 5 stars,21-Jun-12,,by Alan Berg | 21 June 2012
Learn Robotics Programming: Build and control AI-enabled autonomous robots using the Raspberry Pi and Python,"2,535",69,4.4 out of 5 stars,12-Feb-21,(18% off),by Danny Staple | 12 February 2021
Mastering JavaScript Design Patterns -,"2,464",5,2.9 out of 5 stars,06-Jan-16,(20% off),by Simon Timms | 6 January 2016
Laravel 5 Essentials,"1,828",12,3.5 out of 5 stars,28-Apr-15,(20% off),by Martin Bean | 28 April 2015
Hands-On Design Patterns with Java: Learn design patterns that enable the building of large-scale software architectures,"2,464",13,3.5 out of 5 stars,27-Apr-19,(20% off),by Dr. Edward Lavieri | 27 April 2019
Learning Unity Physics,"3,566",6,2.6 out of 5 stars,29-Oct-14,(22% off),by K. Aava Rani | 29 October 2014
Learning Selenium Testing Tools with Python,"1,800",22,4.3 out of 5 stars,30-Dec-14,(38% off),by Unmesh Gundecha | 30 December 2014
"Dynamics 365 for Finance and Operations Development Cookbook - Fourth Edition: Recipes to explore forms, look-ups and different integrations like Power BI and MS Office for your business solutions","3,736",6,4.4 out of 5 stars,11-Aug-17,(20% off),by Deepak Agarwal and Abhimanyu Singh | 11 August 2017
Learning Internet of Things,"2,719",6,4.1 out of 5 stars,27-Jan-15,(15% off),by Peter Waher | 27 January 2015
Automating Salesforce Marketing Cloud: Reap all the benefits of the SFMC platform and increase your productivity with the help of real-world examples,"2,784",33,4.6 out of 5 stars,18-Apr-22,(20% off),by Greg Gifford and Jason Hanshaw | 18 April 2022
"Hands-On RTOS with Microcontrollers: Building real-time embedded systems using FreeRTOS, STM32 MCUs, and SEGGER debug tools","3,261",62,4.7 out of 5 stars,15-May-20,(20% off),by Brian Amos | 15 May 2020
"Security with Go: Explore the power of Golang to secure host, web, and cloud services","2,464",10,4.3 out of 5 stars,31-Jan-18,(20% off),by John Daniel Leon | 31 January 2018
Hands-On Agile Software Development with JIRA: Design and manage software projects using the Agile methodology,"1,669",40,3.8 out of 5 stars,30-Jul-18,(20% off),by David Harned | 30 July 2018
Building Analytics Teams: Harnessing analytics and artificial intelligence for business improvement,"2,067",83,4.4 out of 5 stars,30-Jun-20,(20% off),by John K. Thompson and Douglas B. Laney | 30 June 2020
"JavaScript from Beginner to Professional: Learn JavaScript quickly by building fun, interactive, and dynamic web apps, games, and pages","2,226",91,4.7 out of 5 stars,15-Dec-21,(20% off),"by Laurence Lars Svekis , Maaike van Putten , et al. | 15 December 2021"
Learning iOS Penetration Testing,"2,544",17,4.3 out of 5 stars,06-Jan-16,(20% off),by Swaroop Yermalkar | 6 January 2016
Learning Redux,"3,100",10,4.5 out of 5 stars,31-Aug-17,(20% off),by Daniel Bugl | 31 August 2017
"Implementing Microsoft Dynamics 365 for Finance and Operations Apps: Learn best practices, architecture, tools, techniques, and more, 2nd Edition","2,782",28,4.3 out of 5 stars,06-Mar-20,(20% off),"by JJ Yadav, Sandeep Shukla, et al. | 6 March 2020"
"Accelerate DevOps with GitHub: Enhance software delivery performance with GitHub issues, projects, actions, and advanced security","4,440",,,16-Sep-22,(20% off),by Michael Kaufmann | 16 September 2022
"Fixing Bad UX Designs: Master proven approaches, tools, and techniques to make your user experience great again","2,464",2,3.0 out of 5 stars,27-Feb-18,(20% off),by Lisandra Maioli | 27 February 2018
AWS FinOps Simplified: Eliminate Cloud Waste through Practical FinOps,"2,943",,,11-Nov-22,(20% off),by Peter Chung | 11 November 2022
Microsoft Azure Administrator – Exam Guide AZ-103: Your in-depth certification guide in becoming Microsoft Certified Azure Administrator Associate,"2,464",51,4.0 out of 5 stars,31-May-19,(20% off),by Sjoukje Zaal | 31 May 2019
"Practical Autodesk AutoCAD 2021 and AutoCAD LT 2021: A no-nonsense, beginner's guide to drafting and 3D modeling with Autodesk AutoCAD","2,505",123,4.3 out of 5 stars,15-May-20,(20% off),by Yasser Shoukry and Jaiprakash Pandey | 15 May 2020
Continuous Delivery with Docker and Jenkins - Third Edition: Create secure applications by building complete CI/CD pipelines,"3,577",6,4.4 out of 5 stars,19-May-22,(20% off),by Rafal Leszko | 19 May 2022
Expert Data Modeling with Power BI: Get the best out of Power BI by building optimized data models for reporting and business needs,"3,577",40,4.8 out of 5 stars,11-Jun-21,(20% off),by Soheil Bakhshi and Christian Wade | 11 June 2021
"Artificial Intelligence with Python: Your complete guide to building intelligent apps using Python 3.x, 2nd Edition","3,100",46,4.2 out of 5 stars,31-Jan-20,(20% off),by Alberto Artasanchez and Prateek Joshi | 31 January 2020
"Microsoft Power BI Quick Start Guide: Bring your data to life through data modeling, visualization, digital storytelling, and more, 2nd Edition","2,067",141,4.3 out of 5 stars,30-Oct-20,(20% off),"by Devin Knight , Mitchell Pearson , et al. | 30 October 2020"
PostgreSQL 11 Administration Cookbook: Over 175 recipes for database administrators to manage enterprise databases,"2,782",22,4.2 out of 5 stars,03-May-19,(20% off),"by Simon Riggs , Gianni Ciolli, et al. | 3 May 2019"
"Salesforce Lightning Platform Enterprise Architecture: Architect and deliver packaged applications that cater to enterprise business needs, 3rd Edition","3,100",40,4.7 out of 5 stars,04-Nov-19,(20% off),by Andrew Fawcett and Wade Wegner | 4 November 2019
"Java Projects: Learn the fundamentals of Java 11 programming by building industry grade practical projects, 2nd Edition","2,782",9,2.5 out of 5 stars,31-Aug-18,(20% off),by Peter Verhas | 31 August 2018
"Machine Learning with Apache Spark Quick Start Guide: Uncover patterns, derive actionable insights, and learn from big data using MLlib","1,828",1,5.0 out of 5 stars,26-Dec-18,(20% off),by Jillur Quddus | 26 December 2018
"Deep Reinforcement Learning Hands-On: Apply modern RL methods, with deep Q-networks, value iteration, policy gradients, TRPO, AlphaGo Zero and more","2,784",88,4.3 out of 5 stars,21-Jun-18,(20% off),by Maxim Lapan | 21 June 2018
The DevOps 2.5 Toolkit,"2,704",2,5.0 out of 5 stars,28-Nov-19,(20% off),by Viktor Farcic | 28 November 2019
"Fixing Bad UX Designs: Master proven approaches, tools, and techniques to make your user experience great again","2,464",2,3.0 out of 5 stars,27-Feb-18,(20% off),by Lisandra Maioli | 27 February 2018
Microsoft Power Platform Enterprise Architecture: A guide for architects and decision makers to craft complex solutions tailored to meet business needs,"3,100",31,4.4 out of 5 stars,25-Sep-20,(20% off),by Robert Rybaric | 25 September 2020
"Learning DevOps: A comprehensive guide to accelerating DevOps culture adoption with Terraform, Azure DevOps, Kubernetes, and Jenkins","2,782",13,4.8 out of 5 stars,31-Mar-22,(20% off),by Mikael Krief | 31 March 2022
Learn Web Development with Python: Get hands-on with Python Programming and Django web development,"3,100",15,3.8 out of 5 stars,21-Dec-18,(20% off),"by Fabrizio Romano, Gaston C. Hillar, et al. | 21 December 2018"
Mastering Embedded Linux Programming: Create fast and reliable embedded solutions with Linux 5.4 and the Yocto Project 3.1 (Dunfell),"3,100",46,4.7 out of 5 stars,14-May-21,(20% off),by Frank Vasquez and Chris Simmonds | 14 May 2021
"Augmented Reality for Developers: Build practical augmented reality applications with Unity, ARCore, ARKit, and Vuforia","3,100",11,3.7 out of 5 stars,09-Oct-17,(20% off),by Jonathan Linowes and Krystian Babilinski | 9 October 2017
Linux Device Drivers Development: Develop customized drivers for embedded Linux,"2,782",67,4.3 out of 5 stars,20-Oct-17,(20% off),by John Madieu | 20 October 2017
"Hands-On Microservices with Kubernetes: Build, deploy, and manage scalable microservices on Kubernetes","2,464",16,4.1 out of 5 stars,05-Jul-19,(20% off),by Gigi Sayfan | 5 July 2019
RESTful Web API Design with Node.js -: A step-by-step guide in the RESTful world of Node.js.,"1,828",16,4.1 out of 5 stars,06-Jan-16,(20% off),by Valentin Bojinov | 6 January 2016
"AWS SysOps Cookbook: Practical recipes to build, automate, and manage your AWS-based cloud environments, 2nd Edition","2,464",6,3.7 out of 5 stars,27-Sep-19,(20% off),"by Eric Z. Beard , Rowan Udell, et al. | 27 September 2019"
Democratizing Artificial Intelligence with UiPath: Expand automation in your organization to achieve operational efficiency and high performance,"3,100",,,13-May-22,"10% Off on SBI Cards
10% Off on SBI Cards",by Fanny IP and Jeremiah Crowley | 13 May 2022
"Hands-On Dark Web Analysis: Learn what goes on in the Dark Web, and how to work with it","1,828",24,4.0 out of 5 stars,26-Dec-18,(20% off),by Sion Retzkin | 26 December 2018
"Go Programming Cookbook: Over 85 recipes to build modular, readable, and testable Golang applications across various domains, 2nd Edition","2,464",13,3.3 out of 5 stars,19-Jul-19,(20% off),by Aaron Torres | 19 July 2019
Mastering Wireshark 2: Develop skills for network analysis and address a wide range of information security threats,"2,464",1,5.0 out of 5 stars,31-May-18,(20% off),by Andrew Crouthamel | 31 May 2018
Learn C Programming: A beginner's guide to learning C programming the easy and disciplined way,"2,226",109,4.6 out of 5 stars,26-Jun-20,(20% off),by Jeff Szuhay | 26 June 2020
Data Science with Python: Combine Python with machine learning principles to discover hidden patterns in raw data,"2,226",10,4.3 out of 5 stars,19-Jul-19,(20% off),"by Rohan Chopra , Aaron England, et al. | 19 July 2019"
Hands-On Neural Networks: Learn how to build and train your first neural network model using Python,"2,226",6,4.2 out of 5 stars,30-May-19,(20% off),by Leonardo De Marchi and Laura Mitchell | 30 May 2019
Agile Model-Based Systems Engineering Cookbook: Improve system development by applying proven recipes for effective agile systems engineering,"4,054",36,4.3 out of 5 stars,31-Mar-21,(20% off),by Bruce Powel Douglass | 31 March 2021
"Selenium Framework Design in Data-Driven Testing: Build data-driven test frameworks using Selenium WebDriver, AppiumDriver, Java, and TestNG","2,782",23,4.3 out of 5 stars,23-Jan-18,(20% off),by Carl Cocchiaro | 23 January 2018
Machine Learning for Cybersecurity Cookbook: Over 80 recipes on how to implement machine learning algorithms for building security systems using Python,"2,782",17,4.3 out of 5 stars,25-Nov-19,(20% off),by Emmanuel Tsukerman | 25 November 2019
Real-World Implementation of C# Design Patterns: Overcome daily programming challenges using elements of reusable object-oriented software,"3,399",,,14-Oct-22,,by Bruce M. Van Horn II and Van Symons | 14 October 2022
C++ 20 STL Cookbook: Leverage the latest features of the STL to overcome real-world problems,"2,385",7,4.5 out of 5 stars,24-Jun-22,(20% off),by Bill Weinman | 24 June 2022
MySQL 8 for Big Data,"2,782",19,5.0 out of 5 stars,20-Oct-17,(20% off),"by Shabbir Challawala , Jaydip Lakhatariya, et al. | 20 October 2017"
"Mastering PostgreSQL 12: Advanced techniques to build and administer scalable and reliable PostgreSQL database applications, 3rd Edition","2,464",33,4.2 out of 5 stars,29-Nov-19,(20% off),by Hans-Jürgen Schönig | 29 November 2019
Learn T-SQL Querying: A guide to developing efficient and elegant T-SQL code,"2,464",36,4.7 out of 5 stars,03-May-19,(20% off),by Pedro Lopes and Pam Lahoud | 3 May 2019
"Practical Linux Security Cookbook: Secure your Linux environment from modern-day attacks with practical recipes, 2nd Edition","2,782",7,4.2 out of 5 stars,31-Aug-18,(20% off),by Tajinder Kalsi | 31 August 2018
Mapping with ArcGIS Pro: Design accurate and user-friendly maps to share the story of your data,"2,782",3,2.7 out of 5 stars,08-Mar-18,(20% off),by Amy Rock and Ryan Malhoski | 8 March 2018
Linux Kernel Debugging: Leverage open source tools and advanced techniques to debug Linux kernel or module issues,"2,703",1,5.0 out of 5 stars,08-Jul-22,(20% off),by Kaiwan N Billimoria | 8 July 2022
Java 9 Dependency Injection: Write loosely coupled code with Spring 5 and Guice,"2,782",7,4.1 out of 5 stars,01-Jan-18,(20% off),by Nilang Patel Krunal Patel | 1 January 2018
"Unity Artificial Intelligence Programming: Add powerful, believable, and fun AI entities in your game with the power of Unity","2,464",2,5.0 out of 5 stars,28-Mar-22,(20% off),by Dr. Davide Aversa | 28 March 2022
Java 9 Cookbook,"5,700",3,4.2 out of 5 stars,21-Aug-17,"10% Off on SBI Cards
10% Off on SBI Cards",by Mohamed Sanaulla and Nick Samoylov | 21 August 2017
The The Art of Micro Frontends: Build websites using compositional UIs that grow naturally as your application scales,"2,464",7,4.3 out of 5 stars,21-Jun-21,(20% off),by Florian Rappl and Lothar Schöttner | 21 June 2021
"Mastering SAP ABAP: A complete guide to developing fast, durable, and maintainable ABAP programs in SAP","2,226",8,3.6 out of 5 stars,31-May-19,(20% off),"by Paweł Grześkowiak, Wojciech Ciesielski, et al. | 31 May 2019"
"Blender Quick Start Guide: 3D Modeling, Animation, and Render with Eevee in Blender 2.8","1,828",31,3.5 out of 5 stars,29-Sep-18,(20% off),by Allan Brito | 29 September 2018
Internet of Things Projects with ESP32: Build exciting and powerful IoT projects using the all-new Espressif ESP32,"1,828",33,3.6 out of 5 stars,30-Mar-19,(20% off),by Agus Kurniawan | 30 March 2019
Professional JavaScript: Fast-track your web development career using the powerful features of advanced JavaScript,"2,464",10,4.6 out of 5 stars,30-Sep-19,(20% off),"by Hugo Di Francesco , Siyuan Gao , et al. | 30 September 2019"
Mastering TypeScript,"3,500",9,3.6 out of 5 stars,23-Apr-15,,by Nathan Rozentals | 23 April 2015
Building Google Cloud Platform Solutions: Develop scalable applications from scratch and make them globally available in almost any language,"3,100",6,3.8 out of 5 stars,26-Mar-19,(20% off),"by Ted Hunter, Steven Porter, et al. | 26 March 2019"
"The Machine Learning Workshop: Get ready to develop your own high-performance machine learning algorithms with scikit-learn, 2nd Edition","2,226",8,4.9 out of 5 stars,22-Jul-20,(20% off),by Hyatt Saleh | 22 July 2020
Microsoft Windows Intune 2.0: Quickstart Administration,"3,100",6,3.7 out of 5 stars,26-Jan-12,(20% off),by David Overton | 26 January 2012
Architecting Google Cloud Solutions: Learn to design robust and future-proof solutions with Google Cloud technologies,"2,782",10,4.2 out of 5 stars,09-Apr-21,(20% off),by Victor Dantas | 9 April 2021
"Hands-On Reactive Programming in Spring 5: Build cloud-ready, reactive systems with Spring 5 and Project Reactor","2,782",28,4.5 out of 5 stars,08-Oct-18,(20% off),by Oleh Dokuka and Igor Lozynskyi | 8 October 2018
"AWS Certified Developer – Associate Guide: Your one-stop solution to passing the AWS developer's 2019 (DVA-C01) certification, 2nd Edition","3,100",24,4.2 out of 5 stars,03-Jun-19,(20% off),by Vipul Tankariya and Bhavin Parmar | 3 June 2019
"Mastering Python Networking: Your one-stop solution to using Python for network automation, DevOps, and Test-Driven Development, 2nd Edition","3,171",48,4.2 out of 5 stars,01-Jan-18,(19% off),by Eric Chou | 1 January 2018
Mapping with ArcGIS Pro: Design accurate and user-friendly maps to share the story of your data,"2,782",3,2.7 out of 5 stars,08-Mar-18,(20% off),by Amy Rock and Ryan Malhoski | 8 March 2018
Oracle BI Publisher 11g: A Practical Guide to Enterprise Reporting,,6,3.7 out of 5 stars,13-Mar-12,,by Daniela Bozdoc | 13 March 2012
Web Applications Architecture Handbook: A detailed guide for web developers looking to build a fulfilling career in web architecture,"1,512",,,08-Sep-22,(20% off),by Mihaela Roxana Ghidersa | 8 September 2022
"Python GUI Programming with Tkinter: Design and build functional and user-friendly GUI applications, 2nd Edition","2,941",44,4.3 out of 5 stars,28-Oct-21,(20% off),by Alan D. Moore | 28 October 2021
"Docker on Amazon Web Services: Build, deploy, and manage your container applications at scale","3,100",10,4.5 out of 5 stars,30-Aug-18,(20% off),by Justin Menga | 30 August 2018
"Drupal 9 Module Development: Get up and running with building powerful Drupal modules and applications, 3rd Edition","3,100",42,4.4 out of 5 stars,14-Aug-20,(20% off),by Daniel Sipos and Antonio De Marco | 14 August 2020
"iOS 15 Programming for Beginners: Kickstart your mobile app development journey by building iOS apps with Swift 5.5 and Xcode 13, 6th Edition","2,466",28,4.4 out of 5 stars,24-Dec-21,(20% off),by Ahmad Sahar and Craig Clayton | 24 December 2021
Practical Security Automation and Testing: Tools and techniques for automated security scanning and testing in DevSecOps,"2,464",13,4.5 out of 5 stars,04-Feb-19,(20% off),by Tony Hsiang-Chih Hsu | 4 February 2019
Deep Learning with Keras: Implementing deep learning models and neural networks with the power of Python,"1,599",42,3.5 out of 5 stars,26-Apr-17,(59% off),by Antonio Gulli and Sujit Pal | 26 April 2017
Mastering Azure Machine Learning: Perform large-scale end-to-end advanced machine learning in the cloud with Microsoft Azure Machine Learning,"2,782",32,4.4 out of 5 stars,30-Apr-20,(20% off),by Christoph Körner and Kaijisse Waaijer | 30 April 2020
"Deep Reinforcement Learning Hands-On: Apply modern RL methods to practical problems of chatbots, robotics, discrete optimization, web automation, and more, 2nd Edition","3,259",135,4.5 out of 5 stars,31-Jan-20,(20% off),by Maxim Lapan | 31 January 2020
An Atypical ASP.NET Core 6 Design Patterns Guide: A SOLID adventure into architectural principles and design patterns using .NET 6 and C# 10,"2,784",9,4.4 out of 5 stars,28-Mar-22,(20% off),by Carl-Hugo Marcotte and Abdelhamid Zebdi | 28 March 2022
"Kubernetes for Developers: Use Kubernetes to develop, test, and deploy your applications with the help of containers","2,782",9,4.6 out of 5 stars,06-Apr-18,(20% off),by Joseph Heck | 6 April 2018
Deep Learning for Beginners: A beginner's guide to getting up and running with deep learning from scratch using Python,"2,466",10,4.4 out of 5 stars,18-Sep-20,(20% off),by Dr. Pablo Rivas and Laura Montoya | 18 September 2020
Deep Learning for Beginners: A beginner's guide to getting up and running with deep learning from scratch using Python,"2,466",10,4.4 out of 5 stars,18-Sep-20,(20% off),by Dr. Pablo Rivas and Laura Montoya | 18 September 2020
Unity Certified Programmer: Exam Guide: Expert tips and techniques to pass the Unity certification exam at the first attempt,"2,941",35,4.6 out of 5 stars,30-Jun-20,(20% off),by Philip Walker | 30 June 2020
Hands-On Data Science and Python Machine Learning: Perform data mining and machine learning efficiently using Python and Spark,360,13,4.0 out of 5 stars,31-Jul-17,(82% off),by Frank Kane | 31 July 2017
A A Frontend Web Developer’s Guide to Testing: Explore leading web test automation frameworks and their future driven by low-code and AI,"2,464",8,4.3 out of 5 stars,29-Mar-22,(20% off),by Eran Kinsbruner and Gleb Bahmutov | 29 March 2022
"Serverless Design Patterns and Best Practices: Build, secure, and deploy enterprise ready serverless applications with AWS to improve developer productivity","2,782",9,4.5 out of 5 stars,12-Apr-18,(20% off),by Brian Zambrano | 12 April 2018
"End-to-End Automation With Kubernetes and Crossplane: Develop a control plane-based platform for unified infrastructure, services, and application automation","2,941",,,16-Sep-22,(20% off),by Arun Ramakani | 16 September 2022
Building Blockchain Projects: Building decentralized Blockchain applications with Ethereum and Solidity,"1,899",38,3.8 out of 5 stars,27-Apr-17,(46% off),by Narayan Prusty | 27 April 2017
Python Machine Learning Blueprints: Intuitive data projects you can relate to,"2,400",4,3.6 out of 5 stars,29-Jul-16,(31% off),by Alexander T. Combs | 29 July 2016
The Statistics and Calculus with Python Workshop: A comprehensive introduction to mathematics in Python for artificial intelligence applications,"2,226",26,4.6 out of 5 stars,18-Aug-20,(20% off),"by Peter Farrell, Alvaro Fuentes , et al. | 18 August 2020"
Hands-On Time Series Analysis with R: Perform time series analysis and forecasting using R,"2,226",51,4.4 out of 5 stars,31-May-19,(20% off),by Rami Krispin | 31 May 2019
"PostgreSQL 12 High Availability Cookbook: Over 100 recipes to design a highly available server with the advanced features of PostgreSQL 12, 3rd Edition","2,784",12,4.5 out of 5 stars,25-Feb-20,(20% off),by Shaun Thomas | 25 February 2020
Mastering the C++17 STL: Make full use of the standard library components in C++17,"2,782",24,4.5 out of 5 stars,28-Sep-17,(20% off),by Arthur O'Dwyer | 28 September 2017
Dynamics 365 Business Central Development Quick Start Guide: Modern development techniques for Dynamics 365 Business Central,"1,828",20,4.0 out of 5 stars,27-Aug-18,(20% off),by Stefano Demiliani and Duilio Tacconi | 27 August 2018
"Mastering Concurrency Programming with Java 9, Second Edition: Fast, reactive and parallel application development","3,101",11,4.2 out of 5 stars,01-Jan-17,(20% off),by Javier Fernandez Gonzalez | 1 January 2017
Beginning Swift: Master the fundamentals of programming in Swift 4,"1,500",5,4.3 out of 5 stars,31-May-18,(21% off),by Rob Kerr and Kåre Morstøl | 31 May 2018
Mastering OpenCV with Practical Computer Vision Projects,"2,782",19,4.4 out of 5 stars,03-Dec-12,(20% off),"by Shervin Emami, Khvedchenia Levgen, et al. | 3 December 2012"
Android Programming for Beginners: Learn all the Java and Android skills you need to start making powerful mobile applications,"3,100",63,4.0 out of 5 stars,31-Dec-15,(20% off),by John Horton | 31 December 2015
Applied Computational Thinking with Python: Design algorithmic solutions for complex and challenging real-world problems,"2,464",17,4.6 out of 5 stars,27-Nov-20,(20% off),by Sofía De Jesús and Dayrene Martinez | 27 November 2020
"Learning ArcGIS Pro 2: A beginner's guide to creating 2D and 3D maps and editing geospatial data with ArcGIS Pro, 2nd Edition","3,100",14,4.7 out of 5 stars,24-Jul-20,(20% off),by Tripp Corbin GISP | 24 July 2020
Hands-On Reactive Programming with Reactor: Build reactive and scalable microservices using the Reactor framework,"2,464",5,3.4 out of 5 stars,29-Sep-18,(20% off),by Rahul Sharma | 29 September 2018
Machine Learning Fundamentals: Use Python and scikit-learn to get up and running with the hottest developments in machine learning,"2,226",3,5.0 out of 5 stars,29-Nov-18,(20% off),by Hyatt Saleh | 29 November 2018
Front-End Development Projects with Vue.js: Learn to build scalable web applications and dynamic user interfaces with Vue 2,"2,464",13,4.3 out of 5 stars,27-Nov-20,(20% off),"by Raymond Camden , Hugo Di Francesco , et al. | 27 November 2020"
Docker Certified Associate (DCA): Exam Guide: Enhance and validate your Docker skills by gaining Docker certification,"2,464",18,4.8 out of 5 stars,28-Sep-20,(20% off),by Francisco Javier Ramirez Urea | 28 September 2020
Natural Language Processing Fundamentals: Build intelligent applications that can interpret the human language to deliver impactful results,"2,464",10,3.7 out of 5 stars,30-Mar-19,(20% off),by Sohom Ghosh and Dwight Gunning | 30 March 2019
DevOps Paradox: The truth about DevOps by the people on the front line,"2,464",9,4.9 out of 5 stars,30-Aug-19,(20% off),by Viktor Farcic | 30 August 2019
Azure Data Engineer Associate Certification Guide: A hands-on reference guide to developing your data engineering skills and preparing for the DP-203 exam,"3,102",13,4.0 out of 5 stars,28-Feb-22,(20% off),by Newton Alex | 28 February 2022
Optimizing Databricks Workloads: Harness the power of Apache Spark in Azure and maximize the performance of modern big data workloads,"2,464",10,4.8 out of 5 stars,24-Dec-21,(20% off),"by Anirudh Kala , Anshul Bhatnagar , et al. | 24 December 2021"
Principles of Data Science: Mathematical techniques and theory to succeed in data-driven industries,"2,782",25,4.1 out of 5 stars,13-Dec-16,(20% off),by Sinan Ozdemir | 13 December 2016
Robotic Process Automation Projects: Build real-world RPA solutions using UiPath and Automation Anywhere,"2,466",34,4.5 out of 5 stars,26-May-20,(20% off),by Nandan Mullakara and Arun Kumar Asokan | 26 May 2020
Learn React Hooks: Build and refactor modern React.js applications using Hooks,"2,464",23,4.3 out of 5 stars,18-Oct-19,(20% off),by Daniel Bugl | 18 October 2019
Implementing Domain-Specific Languages with Xtext and Xtend -,"2,782",9,4.7 out of 5 stars,06-Jan-16,(20% off),by Lorenzo Bettini | 6 January 2016
"Learning Node.js Development: Learn the fundamentals of Node.js, and deploy and test Node.js applications on the web","2,464",27,3.9 out of 5 stars,31-Jan-18,(20% off),by Andrew Mead | 31 January 2018
Natural Language Processing: Python and NLTK,"5,247",2,3.9 out of 5 stars,18-Nov-16,10% Off on SBI Cards,"by Nitin Hardeniya, Jacob Perkins, et al. | 18 November 2016"
Ensemble Machine Learning Cookbook: Over 35 practical recipes to explore ensemble machine learning techniques using Python,999,6,3.4 out of 5 stars,01-Jan-19,(71% off),by Dipayan Sarkar Vijayalakshmi Natarajan | 1 January 2019
Android Programming for Beginners: Learn all the Java and Android skills you need to start making powerful mobile applications,"3,100",63,4.0 out of 5 stars,31-Dec-15,(20% off),by John Horton | 31 December 2015
Applied Computational Thinking with Python: Design algorithmic solutions for complex and challenging real-world problems,"2,464",17,4.6 out of 5 stars,27-Nov-20,(20% off),by Sofía De Jesús and Dayrene Martinez | 27 November 2020
"Learning ArcGIS Pro 2: A beginner's guide to creating 2D and 3D maps and editing geospatial data with ArcGIS Pro, 2nd Edition","3,100",14,4.7 out of 5 stars,24-Jul-20,(20% off),by Tripp Corbin GISP | 24 July 2020
Hands-On Reactive Programming with Reactor: Build reactive and scalable microservices using the Reactor framework,"2,464",5,3.4 out of 5 stars,29-Sep-18,(20% off),by Rahul Sharma | 29 September 2018
Machine Learning Fundamentals: Use Python and scikit-learn to get up and running with the hottest developments in machine learning,"2,226",3,5.0 out of 5 stars,29-Nov-18,(20% off),by Hyatt Saleh | 29 November 2018
Front-End Development Projects with Vue.js: Learn to build scalable web applications and dynamic user interfaces with Vue 2,"2,464",13,4.3 out of 5 stars,27-Nov-20,(20% off),"by Raymond Camden , Hugo Di Francesco , et al. | 27 November 2020"
AWS Networking Cookbook,"2,150",7,3.6 out of 5 stars,24-Aug-17,(39% off),by Satyajit Das and Jhalak Modi | 24 August 2017
Docker Certified Associate (DCA): Exam Guide: Enhance and validate your Docker skills by gaining Docker certification,"2,464",18,4.8 out of 5 stars,28-Sep-20,(20% off),by Francisco Javier Ramirez Urea | 28 September 2020
"Machine Learning with R: Expert techniques for predictive modeling, 3rd Edition","2,200",219,4.6 out of 5 stars,15-Apr-19,(37% off),by Brett Lantz | 15 April 2019
Natural Language Processing Fundamentals: Build intelligent applications that can interpret the human language to deliver impactful results,"2,464",10,3.7 out of 5 stars,30-Mar-19,(20% off),by Sohom Ghosh and Dwight Gunning | 30 March 2019
DevOps Paradox: The truth about DevOps by the people on the front line,"2,464",9,4.9 out of 5 stars,30-Aug-19,(20% off),by Viktor Farcic | 30 August 2019
Azure Data Engineer Associate Certification Guide: A hands-on reference guide to developing your data engineering skills and preparing for the DP-203 exam,"3,102",13,4.0 out of 5 stars,28-Feb-22,(20% off),by Newton Alex | 28 February 2022
Optimizing Databricks Workloads: Harness the power of Apache Spark in Azure and maximize the performance of modern big data workloads,"2,464",10,4.8 out of 5 stars,24-Dec-21,(20% off),"by Anirudh Kala , Anshul Bhatnagar , et al. | 24 December 2021"
Principles of Data Science: Mathematical techniques and theory to succeed in data-driven industries,"2,782",25,4.1 out of 5 stars,13-Dec-16,(20% off),by Sinan Ozdemir | 13 December 2016
Robotic Process Automation Projects: Build real-world RPA solutions using UiPath and Automation Anywhere,"2,466",34,4.5 out of 5 stars,26-May-20,(20% off),by Nandan Mullakara and Arun Kumar Asokan | 26 May 2020
Learn React Hooks: Build and refactor modern React.js applications using Hooks,"2,464",23,4.3 out of 5 stars,18-Oct-19,(20% off),by Daniel Bugl | 18 October 2019
Implementing Domain-Specific Languages with Xtext and Xtend -,"2,782",9,4.7 out of 5 stars,06-Jan-16,(20% off),by Lorenzo Bettini | 6 January 2016
"Learning Node.js Development: Learn the fundamentals of Node.js, and deploy and test Node.js applications on the web","2,464",27,3.9 out of 5 stars,31-Jan-18,(20% off),by Andrew Mead | 31 January 2018
"Blender 3D Basics Beginner's Guide: This book will have you diving into the great features of Blender in no time. Written for absolute beginners, it ... Once completed, you'll never look back.","3,339",38,4.4 out of 5 stars,26-Aug-14,(20% off),by Gordon Fisher | 26 August 2014
