book_name,book_Price,book_reviews,book_rating,book_date,book_discount,book_author
Industrial Cybersecurity: Efficiently secure critical infrastructure systems,"3,577",54,4.7 out of 5 stars,18-Oct-17,(20% off),by Pascal Ackerman | 18 October 2017
Practical Threat Intelligence and Data-Driven Threat Hunting: A hands-on guide to threat hunting with the ATT&CK™ Framework and open source tools,"2,464",125,4.6 out of 5 stars,12-Feb-21,(20% off),by Valentina Palacin | 12 February 2021
Python Geospatial Development - Third Edition,"3,100",5,4.2 out of 5 stars,06-Jan-16,(20% off),by Erik Westra | 6 January 2016
"Flutter Projects: A practical, project-based guide to building real-world cross-platform mobile applications and games","1,828",36,4.2 out of 5 stars,07-Apr-20,(20% off),by Simone Alessandria | 7 April 2020
"OpenCV 4 with Python Blueprints: Build creative computer vision projects with the latest version of OpenCV 4 and Python 3, 2nd Edition","2,782",8,4.4 out of 5 stars,20-Mar-20,(20% off),"by Dr. Menua Gevorgyan , Arsen Mamikonyan, et al. | 20 March 2020"
Full-Stack Web Development with GraphQL and React: Taking React from frontend to full-stack with GraphQL and Apollo,"2,784",4,3.5 out of 5 stars,28-Feb-22,(20% off),by Sebastian Grebe | 28 February 2022
Mastering Adobe Photoshop Elements: Excel in digital photography and image editing for print and web using Photoshop Elements 2019,"2,782",22,4.6 out of 5 stars,26-Aug-19,(20% off),by Robin Nichols | 26 August 2019
"Limitless Analytics with Azure Synapse: An end-to-end analytics service for data processing, management, and ingestion for BI and ML requirements","3,171",29,4.1 out of 5 stars,18-Jun-21,(19% off),by Prashant Kumar Mishra and Mukesh Kumar | 18 June 2021
Go Design Patterns,"3,100",6,2.8 out of 5 stars,24-Feb-17,(20% off),by Mario Castro Contreras | 24 February 2017
ASP.NET jQuery Cookbook,"2,199",6,3.4 out of 5 stars,26-Apr-11,(50% off),by Sonal Aneel Allana | 26 April 2011
Oracle E-Business Suite 12 Financials Cookbook,"3,439",6,4.0 out of 5 stars,17-Aug-11,(36% off),by Yemi Onigbode | 17 August 2011
JasperReports 3.5 for Java Developers,"1,750",6,4.0 out of 5 stars,15-Dec-10,(50% off),by David R. Heffelfinger | 15 December 2010
Moodle 1.9 Extension Development,"1,399",4,3.2 out of 5 stars,15-Dec-10,(64% off),by Jonathan Moore and Michael Churchward | 15 December 2010
Mastering Python Forensics,"1,900",4,4.4 out of 5 stars,30-Oct-15,(41% off),by Dr. Michael Spreitzenbarth and Dr. Johann Uhrmann | 30 October 2015
3D Printing with SketchUp,"1,431",38,4.2 out of 5 stars,21-May-14,(20% off),by Marcus Ritland | 21 May 2014
"Ein Kriegskind packt aus: Teil 2, Gelungene Integration in Deutschland - 1989 bis 2000","1,832",,,08-Jul-20,(12% off),German Edition | by Heinz Hofmann | 8 July 2020
Ein Kriegskind packt aus: Teil 1 - 1940 bis 1989,"1,819",,,08-Jul-20,(12% off),German Edition | by Heinz Hofmann | 8 July 2020
"Ein Kriegskind packt aus: Teil 3, Schicksalsjahre und Zeitläufte, 2001 bis 2020","1,989",,,09-Jul-20,(13% off),German Edition | by Heinz Hofmann | 9 July 2020
Designing and Implementing Microsoft DevOps Solutions AZ-400 Exam Guide -: Ace the certification exam and successfully apply Azure DevOps strategies with practical labs,"2,703",,,07-Oct-22,(20% off),"by Subhajit Chatterjee , Henry Been, et al. | 7 October 2022"
Python Network Programming Cookbook -: Practical solutions to overcome real-world networking challenges,"3,100",2,3.6 out of 5 stars,09-Aug-17,(20% off),by Pradeeban Kathiravelu and Dr. M. O. Faruque Sarker | 9 August 2017
Android UI Development with Jetpack Compose: Bring declarative and native UIs to life quickly and easily on Android using Jetpack Compose,"2,466",12,3.7 out of 5 stars,21-Feb-22,(20% off),by Thomas Kunneth | 21 February 2022
"Edge computing with K3os and k3s: A use-case guide for building edge systems using K3os, K3s and other open source cloud native technologies:","2,943",,,09-Sep-22,(20% off),by Sergio Mendez | 9 September 2022
"Mastering Python Design Patterns: A guide to creating smart, efficient, and reusable software, 2nd Edition","2,784",43,4.4 out of 5 stars,31-Aug-18,(20% off),by Kamon Ayeva and Sakis Kasampalis | 31 August 2018
Mastering Qlik Sense: Expert techniques on self-service data analytics to create enterprise ready Business Intelligence solutions,"3,100",46,4.0 out of 5 stars,16-Mar-18,(20% off),by Juan Ignacio Vitantonio and Martin Mahler | 16 March 2018
