book_name,book_ratings,book_number_of_reviews,book_price,book_discount,book_author,day,month,year,years_launched,keyword,keyword2
"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow 2, 3rd Edition",4.5,367,3100,20,by Sebastian Raschka and Vahid Mirjalili ,12,December,2019,3,['scikit learn tensorflow'],['tensorflow']
Machine Learning Algorithms: A reference guide to popular algorithms for data science and machine learning,4.3,11,3171,19,by Giuseppe Bonaccorso ,24,July,2017,5,['machine learning algorithms'],['algorithms']
Mastering Swift 4 - Fourth Edition: An in-depth and comprehensive guide to modern programming techniques with Swift,4,27,2150,33,by Jon Hoffman ,27,September,2017,5,['programming techniques swift'],['swift']
Linux for Networking Professionals: Securely configure and operate Linux network services for the enterprise,4.7,9,2853,18,by Rob VandenBrink ,11,November,2021,1,['linux networking professionals'],['linux']
CodeIgniter Web Application Blueprints,3.7,7,2782,20,by Rob Foster ,21,January,2015,7,['codeigniter web application'],['codeigniter']
"Learning JavaScript Data Structures and Algorithms: Write complex and powerful JavaScript code using the latest ECMAScript, 3rd Edition",4.2,16,2784,20,by Loiane Groner ,30,April,2018,4,['learning javascript data'],['ecmascript']
Responsive Web Design with Html5 and Css3,4.2,112,2200,29,by Ben Frain ,1,January,2012,10,['responsive web design'],['css3']
AWS Certified Database - Specialty (DBS-C01) Certification: A comprehensive guide to becoming an AWS Certified Database Specialist,4.4,7,2943,20,by Kate Gawron ,9,June,2022,0,['aws certified database'],['aws']
Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,4.6,110,3100,20,"by Sebastian Raschka , Yuxi (Hayden) Liu , et al. ",25,February,2022,0,['machine learning pytorch'],['pytorch']
"CMake Cookbook: Building, testing, and packaging modular software with modern CMake",4.3,31,3418,0,by Radovan Bast and Roberto Di Remigio ,26,September,2018,4,['modern cmake'],['cmake']
"Learning OpenCV 4 Computer Vision with Python 3: Get to grips with tools, techniques, and algorithms for computer vision and machine learning, 3rd Edition",4.3,82,2226,20,by Joseph Howse and Joe Minichino ,20,February,2020,2,['opencv computer vision'],['opencv']
Mastering JavaScript Object-Oriented Programming,4.4,6,2782,20,by Andrea Chiarelli ,6,January,2016,6,['javascript object oriented'],['javascript']
Automated Machine Learning with Microsoft Azure: Build highly accurate and scalable end-to-end AI solutions with Azure AutoML,4.5,9,2782,20,by Dennis Michael Sawyers ,23,April,2021,1,['ai solutions azure'],['azure']
Modern Programming: Object Oriented Programming and Best Practices: Deconstruct object-oriented programming and use it with other programming paradigms to build applications,4.4,4,2226,20,by Graham Lee ,28,June,2019,3,['deconstruct object oriented'],['programming']
TypeScript 4 Design Patterns and Best Practices: Discover effective techniques and design patterns for every programming task,4.1,9,2782,20,by Theo Despoudis ,15,September,2021,1,['typescript design patterns'],['typescript']
Mastering Embedded Linux Programming -: Unleash the full potential of Embedded Linux with Linux 4.9 and Yocto Project 2.2 (Morty) Updates,4.3,47,3101,20,by Chris Simmonds ,30,June,2017,5,['embedded linux programming'],['linux']
Java EE 8 Cookbook: Build reliable applications with the most robust and mature technology for enterprise development,3.3,5,2500,36,by Elder Moraes ,9,April,2018,4,['java ee'],['java']
Learn Ethereum: Build your own decentralized applications with Ethereum and smart contracts,4.3,50,2226,20,"by Xun (Brian) Wu , Zhihong Zou , et al. ",20,September,2019,3,['decentralized applications ethereum'],['decentralized']
"Machine Learning for Time-Series with Python: Forecast, predict, and detect anomalies with state-of-the-art machine learning methods",4,25,2941,20,by Ben Auffarth ,29,October,2021,1,['predict detect anomalies'],['forecast']
Statistics for Data Science,4,9,2465,20,by James D. Miller ,17,November,2017,5,['statistics data science'],['statistics']
Mastering Linux Device Driver Development: Write custom device drivers to support computer peripherals in Linux operating systems,4.8,19,2782,20,by John Madieu ,8,January,2021,1,['device driver development'],['linux']
MobX Quick Start Guide: Supercharge the client state in your React apps with MobX,4.3,12,1828,20,by Pavan Podila and Michel Weststrate ,26,July,2018,4,['react apps mobx'],['mobx']
Apache Spark Deep Learning Cookbook: Over 80 recipes that streamline deep learning in a distributed environment with Apache Spark,5,1,2999,23,by Ahmed Sherif and Amrith Ravindra ,13,July,2018,4,['spark deep learning'],['spark']
Lean Mobile App Development,4.1,6,2464,20,"by Mike van Drongelen, Adam Dennis, et al. ",28,November,2017,5,['lean mobile app'],['lean']
Phoenix Web Development: Create rich web applications using functional programming techniques with Phoenix and Elixir,3,1,2465,20,by Mike Voloz and Brandon Richey ,30,April,2018,4,['phoenix web development'],['phoenix']
"Engineering MLOps: Rapidly build, test, and manage production-ready machine learning life cycles at scale",3.8,20,2782,20,by Emmanuel Raj ,19,April,2021,1,['engineering mlops rapidly'],['mlops']
"Hands-On Serverless Computing with Google Cloud: Build, deploy, and containerize apps using Cloud Functions, Cloud Run, and cloud-native technologies",4.3,6,3102,20,by Richard Rose ,14,February,2020,2,['serverless computing google'],['serverless']
The The Art of CRM: Proven strategies for modern customer relationship management,3.8,14,2464,20,by Max Fatouretchi ,22,May,2019,3,['customer relationship management'],['crm']
Mastering Metasploit,4.4,14,3100,20,by Nipun Jaswal ,26,May,2014,8,['mastering metasploit'],['metasploit']
Computer Programming for Absolute Beginners: Learn essential computer science concepts and coding techniques to kick-start your programming career,4.3,70,2226,20,by Joakim Wassberg ,31,July,2020,2,['programming absolute beginners'],['programming']
"React 17 Design Patterns and Best Practices: Design, build, and deploy production-ready web applications using industry-standard practices, 3rd Edition",4.3,29,2464,20,by Carlos Santana Roldán ,17,May,2021,1,['react 17 design'],['react']
"Learning C# by Developing Games with Unity 2020: An enjoyable and intuitive approach to getting started with C# programming and Unity, 5th Edition",4.6,303,2499,52,by Harrison Ferrone ,21,August,2020,2,['developing games unity'],['unity']
Designing Hexagonal Architecture with Java: An architect's guide to building maintainable and change-tolerant applications with Java and Quarkus,4.8,13,2466,20,by Davi Vieira ,7,January,2022,0,['hexagonal architecture java'],['hexagonal']
Data Analytics Made Easy: Analyze and present data to make informed decisions without writing any code,4.8,20,1828,20,"by Andrea De Mauro , Francesco Marzoni, et al. ",30,August,2021,1,['data analytics easy'],['analytics']
Hands-On Embedded Programming with C++17: Create versatile and robust embedded solutions for MCUs and RTOSes with modern C++,3.9,13,2782,20,by Maya Posch ,31,January,2019,3,['embedded programming 17'],['mcus']
Microsoft Dynamics AX 2012 R3 Reporting Cookbook,4,3,3736,20,"by Deepak Agarwal, Chhavi Aggarwal, et al. ",27,March,2015,7,['r3 reporting cookbook'],['reporting']
"Professional Azure SQL Database Administration: Equip yourself with the skills to manage and maintain data in the cloud, 2nd Edition",4.1,18,2782,20,by Ahmad Osama ,19,July,2019,3,['professional azure sql'],['sql']
Software-Defined Networking with OpenFlow -,5,1,2465,20,by Oswald Coker and Siamak Azodolmolky ,25,October,2017,5,['defined networking openflow'],['openflow']
Mastering Python for Data Science,3.8,15,3736,20,by Samir Madhavan Samir ,1,January,2015,7,['mastering python'],['python']
"Data Science Projects with Python: A case study approach to gaining valuable insights from real data with machine learning, 2nd Edition",4.3,19,2226,20,by Stephen Klosterman ,29,July,2021,1,['python case study'],['data']
Learn Selenium: Build data-driven test frameworks for mobile and web applications with Selenium Web Driver 3,4.4,12,3100,20,by Unmesh Gundecha and Carl Cocchiaro ,18,July,2019,3,['test frameworks mobile'],['selenium']
"System Center 2016 Virtual Machine Manager Cookbook,: Design, configure, and manage an efficient virtual infrastructure with VMM in System Center 2016, 3rd Edition",3.7,5,3100,20,by EDVALDO ALESSANDRO CARDOSO and Roman Levchenko ,21,February,2018,4,['virtual infrastructure vmm'],['vmm']
Automata Theory Language & Computation | Third Edition | By Pearson,4.3,315,599,0,by Hopcroft ,1,January,2008,14,['automata theory'],['automata']
Time Series Analysis with Python Cookbook: Over 75 practical recipes to develop your time series analysis and forecasting skills,4.5,2,2941,20,by Tarek Atwan ,1,July,2022,0,['time series analysis'],['forecasting']
Neo4j High Performance,3,2,1828,20,by Sonal Raj ,2,March,2015,7,['neo4j high performance'],['neo4j']
"Hands-On Data Analysis with Pandas: A Python data science handbook for data collection, wrangling, analysis, and visualization, 2nd Edition",4.3,61,2464,20,by Stefanie Molin and Ken Jee ,29,April,2021,1,['python data science'],['pandas']
"Practical Network Automation: A beginner's guide to automating and optimizing networks using Python, Ansible, and more, 2nd Edition",3.8,14,2464,20,by Abhishek Ratan ,26,December,2018,4,['practical network automation'],['ansible']
Performance Testing With JMeter 2.9,3.1,8,2464,20,by Bayo Erinle ,26,July,2013,9,['performance testing jmeter'],['jmeter']
"Hands-On Web Scraping with Python: Perform advanced scraping operations using various Python libraries and tools such as Selenium, Regex, and others",4,27,2226,20,by Anish Chapagain ,15,July,2019,3,['web scraping python'],['scraping']
"React and React Native - Fourth Edition: Build cross-platform JavaScript applications with native power for the web, desktop, and mobile",4.1,6,2386,20,"by Adam Boduch , Roy Derks, et al. ",27,May,2022,0,['react native'],['react']
Learn React with TypeScript 3: Beginner's guide to modern React web development with TypeScript 3,4.2,29,2782,20,by Carl Rippon ,29,November,2018,4,['learn react typescript'],['typescript']
"Hands-On Machine Learning with Microsoft Excel 2019: Build complete data analysis flows, from data collection to visualization",4.4,30,2464,20,by Julio Cesar Rodriguez Martino ,30,April,2019,3,['excel 2019'],['excel']
"Clean Code in JavaScript: Develop reliable, maintainable, and robust JavaScript",4.5,33,2226,20,by James Padolsey ,20,January,2020,2,['maintainable robust javascript'],['javascript']
Workflow Automation with Microsoft Power Automate: Achieve digital transformation through business automation with minimal coding,4.3,132,3341,20,by Aaron Guilmette ,18,September,2020,2,['workflow automation microsoft'],['workflow']
Mastering IOT: Build modern IoT solutions that secure and monitor your IoT infrastructure,4.2,6,3100,20,by Colin Dow and Perry Lea ,16,April,2019,3,['build modern iot'],['iot']
101 UX Principles: A definitive design guide,4.3,49,3984,15,by Will Grant ,31,August,2018,4,['101 ux principles'],['ux']
Data Visualization: a successful design process,3.9,19,1828,20,by Andy Kirk ,26,December,2012,10,['visualization successful design'],['visualization']
Arduino for Kids: A cool guide to help kids develop robots and electronics,3.7,8,2226,20,"by Priya Kuber, Rishi Gaurav Bhatnagar, et al. ",23,March,2017,5,['arduino kids cool'],['arduino']
Kubernetes in Production Best Practices: Build and manage highly available production-ready Kubernetes clusters,4.7,18,2296,18,by Aly Saleh and Murat Karslioglu ,12,February,2021,1,['production ready kubernetes'],['kubernetes']
Image Processing with ImageJ,3.4,8,1828,20,by Jose Maria MateosPerez and Javier Pascau ,23,September,2013,9,['image processing imagej'],['imagej']
WiX 3.6: A Developer's Guide to Windows Installer XML,4.2,42,2970,24,by Nick Ramirez ,17,December,2012,10,['windows installer xml'],['installer']
NumPy Essentials,4,4,1828,20,by Leo (Liang-Huan) Chin and Tanmay Dutta ,6,January,2016,6,['numpy essentials'],['numpy']
Serverless ETL and Analytics with AWS Glue: Your first one-stop reference guide on AWS Glue and its features,5,1,2943,20,"by Vishal Pathak , Subramanya Vajiraya , et al. ",2,September,2022,0,['aws glue features'],['aws']
PHP 7 Programming Cookbook: Over 80 recipes that will take your PHP 7 web development skills to the next level!,4.3,11,3100,20,by Doug Bierer ,6,January,2016,6,['php programming cookbook'],['php']
Android Application Security Essentials,5,1,2782,20,by Pragati Ogal Rai ,21,August,2013,9,['android application security'],['security']
Burp Suite Cookbook: Practical recipes to help you master web penetration testing with Burp Suite,4.7,33,2782,20,by Sunny Wear ,1,January,2018,4,['penetration testing burp'],['testing']
"Python Data Science Essentials: A practitioner’s guide covering essential data science principles, tools, and techniques, 3rd Edition",5,6,2782,20,by Alberto Boschetti and Luca Massaron ,28,September,2018,4,['python data science'],['python']
